Images/collar_design_labels/60951f5761ea3a01d6ed80e76b7f81ac.jpg,collar_design_labels,1.9988893e-09;0.9999999;1.1291335e-07;1.796667e-08;4.557874e-09
Images/collar_design_labels/677e1183282769a3fe8ac5f1f0154bbd.jpg,collar_design_labels,2.1926355e-07;4.7195474e-08;3.3766244e-07;0.9999993;1.713254e-07
Images/collar_design_labels/3f5a2be205e5d253ebc0517bf50a4b0d.jpg,collar_design_labels,6.846216e-06;0.9999912;2.0598927e-06;5.055928e-13;5.8139487e-12
Images/collar_design_labels/1712bf3d7b57d779ade7f00c389cfa64.jpg,collar_design_labels,1.2495244e-05;1.3372362e-06;0.97841495;0.021488821;8.2368475e-05
Images/collar_design_labels/0b2b4254f35ce3a41a2606705a5466ba.jpg,collar_design_labels,3.9742712e-08;5.1860445e-09;2.716015e-07;0.9999989;7.3437445e-07
Images/collar_design_labels/92a57289b5766147c4ea61e64a4172e7.jpg,collar_design_labels,5.666053e-07;1.0172285e-07;2.504004e-09;0.9999993;9.582824e-12
Images/collar_design_labels/ceb3b249ac875ce56558c442501bbd68.jpg,collar_design_labels,2.0888504e-12;1.3695619e-12;1.2530519e-15;8.940792e-15;1.0
Images/collar_design_labels/556aa0c491f7c58dbd32f5174334b148.jpg,collar_design_labels,3.1685371e-07;2.5189647e-06;0.99998;1.6994867e-05;6.938587e-08
Images/collar_design_labels/c9854e349519aa25d9212d5601cb50ae.jpg,collar_design_labels,0.9999571;1.1762875e-05;3.6949627e-06;3.8617472e-06;2.3647026e-05
Images/collar_design_labels/098a6298808acb42de8ae1aa0b9976ec.jpg,collar_design_labels,1.9338772e-11;3.7529882e-10;3.713048e-08;1.0;9.300474e-13
Images/collar_design_labels/99cfe9c0db24742b012adbfff51ec23a.jpg,collar_design_labels,0.0036327024;1.7866825e-05;0.99633396;1.4828088e-05;6.469784e-07
Images/collar_design_labels/72c6a483c027c898f23f3949cc30012c.jpg,collar_design_labels,3.7682727e-07;8.559002e-09;5.068471e-06;0.9999945;1.0858743e-09
Images/collar_design_labels/91e34afd9a36ed164cf486dc25508eb9.jpg,collar_design_labels,6.0610826e-13;1.362633e-09;1.0;1.4114566e-10;4.0777867e-14
Images/collar_design_labels/c9dee9a7b7ab29c73230d7ce0a1d3fc4.jpg,collar_design_labels,4.1402327e-06;1.4395852e-05;0.99993;4.911781e-05;2.2962322e-06
